Country Name,Country Code,Series Name,Series Code,2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Tanzania,TZA,"Population ages 00-04, female",SP.POP.0004.FE,4161003,4244058,4331835,4410502,4502514,4604196,4709417,4813932
Tanzania,TZA,"Population ages 00-04, male",SP.POP.0004.MA,4265612,4349557,4438725,4516524,4608928,4711911,4818734,4924670
Tanzania,TZA,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,44.8479490669837,44.7851176050645,44.6821649545391,44.5075677818509,44.3164485313565,44.0982381505459,43.8438065738739,43.5544280499328
Tanzania,TZA,"Population ages 0-14, female",SP.POP.0014.FE.IN,10757585,11067699,11376089,11675611,11977215,12277316,12572337,12861425
Tanzania,TZA,"Population ages 0-14, male",SP.POP.0014.MA.IN,10986100,11307192,11627467,11935298,12246289,12555907,12859464,13155471
Tanzania,TZA,"Population ages 0-14, total",SP.POP.0014.TO,21743690,22374897,23003557,23610922,24223524,24833237,25431802,26016895
Tanzania,TZA,"Population ages 05-09, female",SP.POP.0509.FE,3608547,3717839,3821660,3925796,4019476,4103208,4181719,4262107
Tanzania,TZA,"Population ages 05-09, male",SP.POP.0509.MA,3686669,3801467,3910511,4018629,4115334,4200976,4280514,4361607
Tanzania,TZA,"Population ages 10-14, female",SP.POP.1014.FE,2988035,3105802,3222594,3339313,3455225,3569912,3681201,3785386
Tanzania,TZA,"Population ages 10-14, male",SP.POP.1014.MA,3033819,3156168,3278231,3400145,3522027,3643020,3760216,3869194
Tanzania,TZA,"Population, total",SP.POP.TOTL,48483132,49960563,51482638,53049231,54660345,56313444,58005461,59734213
Tanzania,TZA,"Population, male",SP.POP.TOTL.MA.IN,24192894,24932610,25696138,26483706,27294920,28127996,28980621,29851108
Tanzania,TZA,"Population, female",SP.POP.TOTL.FE.IN,24290238,25027953,25786500,26565525,27365425,28185448,29024840,29883105
Vietnam,VNM,"Population ages 00-04, female",SP.POP.0004.FE,3539299,3572946,3607068,3624203,3657631,3696744,3724360,3727629
Vietnam,VNM,"Population ages 00-04, male",SP.POP.0004.MA,3966295,3998927,4035703,4048570,4086242,4134160,4166596,4164842
Vietnam,VNM,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,23.0453274546693,23.0214928938539,23.029828865123,23.0369679453175,23.0975510865422,23.1726768317012,23.213827614338,23.1940369706856
Vietnam,VNM,"Population ages 0-14, female",SP.POP.0014.FE.IN,9987378,10066740,10158412,10251355,10365809,10486071,10592532,10673109
Vietnam,VNM,"Population ages 0-14, male",SP.POP.0014.MA.IN,10926926,11047223,11184962,11320687,11484764,11654563,11800030,11903637
Vietnam,VNM,"Population ages 0-14, total",SP.POP.0014.TO,20914232,21113897,21343373,21571917,21850432,22140556,22392547,22576747
Vietnam,VNM,"Population ages 05-09, female",SP.POP.0509.FE,3282800,3337326,3392734,3446610,3490900,3524741,3552394,3581342
Vietnam,VNM,"Population ages 05-09, male",SP.POP.0509.MA,3586678,3675642,3760284,3839020,3900114,3942398,3973148,4004759
Vietnam,VNM,"Population ages 10-14, female",SP.POP.1014.FE,3165279,3156468,3158610,3180542,3217278,3264586,3315778,3364138
Vietnam,VNM,"Population ages 10-14, male",SP.POP.1014.MA,3373953,3372654,3388975,3433097,3498408,3578005,3660286,3734036
Vietnam,VNM,"Population, total",SP.POP.TOTL,90752593,91713850,92677082,93640435,94600643,95545959,96462108,97338583
Vietnam,VNM,"Population, male",SP.POP.TOTL.MA.IN,45202060,45699141,46197466,46696272,47193015,47680864,48151352,48598254
Vietnam,VNM,"Population, female",SP.POP.TOTL.FE.IN,45550533,46014709,46479616,46944163,47407628,47865095,48310756,48740329
Zambia,ZMB,"Population ages 00-04, female",SP.POP.0004.FE,1308936,1337141,1361994,1387018,1404900,1418861,1434803,1456965
Zambia,ZMB,"Population ages 00-04, male",SP.POP.0004.MA,1336734,1365576,1391028,1416739,1435341,1450053,1466700,1489489
Zambia,ZMB,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,46.7624923759981,46.5091467492929,46.1845158630753,45.8383246377386,45.4113688120858,44.9361411568244,44.4625086011277,44.0173890765072
Zambia,ZMB,"Population ages 0-14, female",SP.POP.0014.FE.IN,3466593,3555249,3638861,3719934,3794211,3864303,3934937,4008980
Zambia,ZMB,"Population ages 0-14, male",SP.POP.0014.MA.IN,3513418,3607060,3694947,3780817,3859257,3932898,4006533,4083160
Zambia,ZMB,"Population ages 0-14, total",SP.POP.0014.TO,6980027,7162312,7333810,7500731,7653454,7797191,7941464,8092137
Zambia,ZMB,"Population ages 05-09, female",SP.POP.0509.FE,1160199,1185662,1211079,1237667,1265607,1294178,1321679,1346207
Zambia,ZMB,"Population ages 05-09, male",SP.POP.0509.MA,1176811,1204259,1231157,1259532,1288725,1318050,1345988,1370881
Zambia,ZMB,"Population ages 10-14, female",SP.POP.1014.FE,997458,1032446,1065788,1095249,1123704,1151264,1178455,1205808
Zambia,ZMB,"Population ages 10-14, male",SP.POP.1014.MA,999873,1037225,1072762,1104546,1135191,1164795,1193845,1222790
Zambia,ZMB,"Population, total",SP.POP.TOTL,14926551,15399793,15879370,16363449,16853608,17351714,17861034,18383956
Zambia,ZMB,"Population, male",SP.POP.TOTL.MA.IN,7379548,7617062,7857171,8098763,8342760,8590277,8843214,9103006
Zambia,ZMB,"Population, female",SP.POP.TOTL.FE.IN,7547003,7782731,8022199,8264686,8510848,8761437,9017820,9280950
Zimbabwe,ZWE,"Population ages 00-04, female",SP.POP.0004.FE,1090728,1112846,1123837,1134690,1121423,1092955,1063399,1042891
Zimbabwe,ZWE,"Population ages 00-04, male",SP.POP.0004.MA,1102124,1123336,1134951,1144558,1131192,1103422,1074621,1054557
Zimbabwe,ZWE,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,42.2314043210628,42.4288534374076,42.5523479494093,42.665087516467,42.5978683807469,42.4010662380439,42.1581270055692,41.9111003998944
Zimbabwe,ZWE,"Population ages 0-14, female",SP.POP.0014.FE.IN,2814987,2877485,2932136,2986017,3024093,3051209,3075752,3102450
Zimbabwe,ZWE,"Population ages 0-14, male",SP.POP.0014.MA.IN,2822877,2887058,2946315,2999900,3040251,3070918,3098483,3126770
Zimbabwe,ZWE,"Population ages 0-14, total",SP.POP.0014.TO,5638052,5764685,5878455,5986056,6064488,6122210,6174257,6229216
Zimbabwe,ZWE,"Population ages 05-09, female",SP.POP.0509.FE,914075,942053,969031,995101,1024606,1055496,1082994,1101198
Zimbabwe,ZWE,"Population ages 05-09, male",SP.POP.0509.MA,915906,946219,975456,1001458,1031431,1063057,1091141,1109514
Zimbabwe,ZWE,"Population ages 10-14, female",SP.POP.1014.FE,810184,822586,839268,856226,878064,902758,929359,958361
Zimbabwe,ZWE,"Population ages 10-14, male",SP.POP.1014.MA,804847,817503,835908,853884,877628,904439,932721,962699
Zimbabwe,ZWE,"Population, total",SP.POP.TOTL,13350378,13586710,13814642,14030338,14236599,14438812,14645473,14862927
Zimbabwe,ZWE,"Population, male",SP.POP.TOTL.MA.IN,6349221,6459915,6568778,6674206,6777054,6879119,6983353,7092010
Zimbabwe,ZWE,"Population, female",SP.POP.TOTL.FE.IN,7001157,7126795,7245864,7356132,7459545,7559693,7662120,7770917
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Data from database: Population estimates and projections,,,,,,,,,,,
Last Updated: 09/15/2021,,,,,,,,,,,
